step	loss
0	100.26544932835861
1	99.37476105715487
2	98.68903193790763
3	97.4750978473116
4	96.91533008802182
5	95.54538939184407
6	94.14792055872593
7	93.880388103014
8	92.23906835228773
9	91.0152160007686
10	90.46063088149899
11	89.23994369901112
12	88.26889006497741
13	87.1900880302296
14	86.93533187973274
15	85.78876751560371
16	84.40316891500034
17	83.7207540526586
18	82.71488795271217
19	81.8270161483478
20	80.70955213772703
21	79.76758505414931
22	78.47769928055237
23	77.97679243446782
24	76.56750840095273
25	75.51888587196522
26	74.86030391031055
27	73.64629246849049
28	72.38092643224904
29	71.19488917475594
30	70.23536380139443
31	69.10193034677296
32	68.53151219384812
33	67.14189318038817
34	66.18902894125605
35	65.12440200510692
36	64.5675301426039
37	63.28224252324511
38	62.28589113278502
39	61.232502576819655
40	60.38625901561657
41	59.12582151421142
42	58.1238376065493
43	57.917256853698056
44	56.71883344853948
45	55.32236996179749
46	54.772448402734014
47	53.46778608247538
48	52.03257233716805
49	51.94073553763318
50	50.023272429757256
51	49.37417426382077
52	48.25361695628648
53	47.249878042067444
54	46.874713065542885
55	45.70488175704188
56	44.47624415171399
57	43.04853852334091
58	42.02992192054747
59	41.961718088797554
60	40.898998876058656
61	39.81693133817585
62	38.72306895103663
63	37.06252517199033
64	36.30454148849828
65	35.44426499372253
66	34.297459311386156
67	33.68293172543026
68	32.73426784266607
69	31.103095244470484
70	30.64245085654891
71	29.395016729468452
72	28.140804334765072
73	27.23703621535244
74	26.298338156482505
75	25.547982033425544
76	24.53718736191392
77	23.85837575582538
78	22.9828995460291
79	21.75299483557342
80	20.583176359127727
81	19.99468483669761
82	18.33807314773682
83	17.82704374780326
84	16.468364809327575
85	15.344619540849925
86	14.547379020777683
87	13.925225437319689
88	12.072737152488743
89	11.251127263719175
90	10.929025181462771
91	9.329533687263943
92	8.704966461555747
93	7.601208448481819
94	6.218826689968807
95	5.1821013069843564
96	4.725409396266749
97	3.4447584640852864
98	2.420050817549974
99	1.756098863917354
100	0.8204540527634451
